Region,Sector,Metric,Unit,Scenario,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ASEAN ,Silvopasture,Max additional mitigation potential,Mt CO2/yr,baseline,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
ASEAN ,Trees in Croplands,Max additional mitigation potential,Mt CO2/yr,baseline,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
DevelopingECO ,Animal Mgmt,Max additional mitigation potential,Mt CO2/yr,baseline,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
DevelopingECO ,Avoided Coastal Impacts,Max additional mitigation potential,Mt CO2/yr,baseline,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2
DevelopingECO ,Avoided Forest Conversion,Max additional mitigation potential,Mt CO2/yr,baseline,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
DevelopingECO ,Avoided Peat Impacts,Max additional mitigation potential,Mt CO2/yr,baseline,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
DevelopingECO ,Biochar,Max additional mitigation potential,Mt CO2/yr,baseline,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551
DevelopingECO ,Coastal Restoration,Max additional mitigation potential,Mt CO2/yr,baseline,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5
DevelopingECO ,Cropland Soil Health,Max additional mitigation potential,Mt CO2/yr,baseline,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5,206.5
DevelopingECO ,Improved Forest Mgmt,Max additional mitigation potential,Mt CO2/yr,baseline,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5,354.5
DevelopingECO ,Improved Rice,Max additional mitigation potential,Mt CO2/yr,baseline,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
DevelopingECO ,Legumes,Max additional mitigation potential,Mt CO2/yr,baseline,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5
DevelopingECO ,Natural Regeneration,Max additional mitigation potential,Mt CO2/yr,baseline,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011
DevelopingECO ,Nitrogen Fertilizer Management,Max additional mitigation potential,Mt CO2/yr,baseline,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353
DevelopingECO ,Optimal Intensity,Max additional mitigation potential,Mt CO2/yr,baseline,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
DevelopingECO ,Peat Restoration,Max additional mitigation potential,Mt CO2/yr,baseline,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5,407.5
DevelopingECO ,Silvopasture,Max additional mitigation potential,Mt CO2/yr,baseline,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
DevelopingECO ,Trees in Croplands,Max additional mitigation potential,Mt CO2/yr,baseline,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
NAM ,Animal Mgmt,Max extent,Mha,baseline,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
NAM ,Avoided Coastal Impacts,Max extent,Mha,baseline,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125,0.00121125
NAM ,Avoided Forest Conversion,Max extent,Mha,baseline,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775,0.017775
NAM ,Avoided Peat Impacts,Max extent,Mha,baseline,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575
NAM ,Biochar,Max extent,Mha,baseline,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25
NAM ,Coastal Restoration,Max extent,Mha,baseline,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295
NAM ,Cropland Soil Health,Max extent,Mha,baseline,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025,107.025
NAM ,Improved Forest Mgmt,Max extent,Mha,baseline,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825,162.825
NAM ,Improved Rice,Max extent,Mha,baseline,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225
NAM ,Legumes,Max extent,Mha,baseline,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
NAM ,Natural Regeneration,Max extent,Mha,baseline,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275,31.275
NAM ,Nitrogen Fertilizer Management,Max extent,Mha,baseline,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475,110.475
NAM ,Optimal Intensity,Max extent,Mha,baseline,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325,59.325
NAM ,Peat Restoration,Max extent,Mha,baseline,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375,3.6375
